"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Executiva da iniciativa privada,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Colega",português,inglês,Sim,Menos da metade do tempo,Aceito se é uma área que já conheço.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), informática e telecomunicações, audiovisual (legendagem, dublagem)",Raramente ou nunca,,Concorda plenamente.,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, Wordfast, Sim,  OmegaT","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,Interpretação,Ensino superior.,"Sim, fiz bacharelado em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ATP-RIO",Sim,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução do exterior, Colega",português,italiano,Não,,,,,,,,"Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,Não.,,masculino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,"Revisão e/ou copydesque, Interpretação, Pesquisas",Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução., Fiz vários cursos de tradução e me formei em Intérprete de Conferências pela PUC-RJ.",Sim,Sim,Sintra,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Colega",português,inglês,Sim,Mais da metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,"é contratada por você (ou seja, você paga do próprio bolso).","Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, SDL Trados, Sim, MemoQ, Já usei vários outros fornecidos pelos clientes.",Não.,"Não uso, só quando é MT para revisão de texto técnico, fornecido pelo cliente.",feminino,56 a 65 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Interpretação,Ensino superior.,"Sim, fiz bacharelado em tradução., Sim, fiz bacharelado em letras com discplina(s) de tradução.",Não,Sim,APIC,Não,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega, através de clientes de interpretação e intérpretes coordenadores",português,inglês,Sim,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.",todos,Raramente ou nunca,,Concordo parcialmente,Discordo totalmente.,Não tenho interesse em fazer curso de versão.,"Sim, Wordfast","Sim, Google Tradutor., Uso Google tradutor em conjunto com Wordfast, mas somente como base.","Uso como base, apenas para poupar digitação, porém jamais confio nela.",feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,"Ensino de línguas, Interpretação",Mestrado,"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Colega",chinês,português,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Memsource","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,amarela,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Sim,"Interpretação, Direitos autorais literários",Mestrado,"Sim, fiz curso livre ou de extensão em tradução., Fiz Licenciatura em letras com disciplinas em tradução",Sim,Sim,"Sintra, ABRATES, ATPP - Associação dos Tradutores Públicos do Paraná",Sim,Sim,"tradutor/a autônomo/a sem CNPJ., funcionário/a de uma empresa não especializada em tradução., tradutor/a juramentado/a","Cliente direto, Empresa onde sou funcionário/a, Colega, Traduções juramentadas",português,francês,Sim,Menos da metade do tempo,"Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).",Documentos da universidade onde trabalho,Sempre ou quase sempre,"trabalha na mesma empresa/agência que você., é nativa do inglês e conhece bem o português., é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados","Sim, Google Tradutor., Sim, Microsoft Bing., Sim, DeepL.","Uso/Já usei ao traduzir para a língua estrangeira., Uso a API do Google junto com SDL Trados",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,"Revisão e/ou copydesque, Interpretação",Ensino superior.,Não fiz.,Sim,Não,Sintra,Sim,Sim,Dona de empresa de tradução,"Cliente direto, Agência de tradução brasileira, Colega",português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem)",Sempre ou quase sempre,"trabalha na mesma empresa/agência que você., é brasileira que tem experiência na tradução para o inglês., é estrangeira especializada no assunto da tradução.","Depende (nem concordo, nem discordo)",Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, SDL Trados",Não.,Nunca uso,feminino,26 a 35 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Ensino em faculdade de Letras e Pedagogia,Mestrado,"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Sim,Mais da metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço.",corporativos / business,Raramente ou nunca,,Discordo totalmente.,Concordo plenamente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,Não.,Uso para checar trechos que tive dificuldade de entender.,masculino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,"Revisão e/ou copydesque, Interpretação",Ensino superior.,Não fiz.,Sim,Não,Sintra,Sim,Sim,Dona de empresa de tradução,"Cliente direto, Agência de tradução brasileira, Colega",português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem)",Sempre ou quase sempre,"trabalha na mesma empresa/agência que você., é brasileira que tem experiência na tradução para o inglês., é estrangeira especializada no assunto da tradução.","Depende (nem concordo, nem discordo)",Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, SDL Trados",Não.,Nunca uso,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,"Ensino de tradução e/ou interpretação, Interpretação",Mestrado,"Sim, fiz bacharelado em tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução.",Sim,Sim,"Sintra, ABRATES, APIC, ABRAPT, AIIC",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega",português,italiano,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, Wordfast","Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Sim,Interpretação,Doutorado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Plataforma online de tradução (p.ex. ProZ), Colega",português,espanhol,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, SDL Trados","Sim, Google Tradutor., Sim, DeepL.","Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,Ensino de tradução e/ou interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,Sintra,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,espanhol,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, Wordfast",Não.,,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,Interpretação,Ensino superior.,Escola Superior de Intérpretes e Tradutores - ESIT,Sim,Sim,"Sintra, AIIC",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Colega, Câmaras de Comércio / Consulados / Site ATP-Rio",português,francês,Sim,Menos da metade do tempo,"Aceito se o prazo estiver folgado., Aceito porque gosto de fazer a tradução para o inglês.",jurídicos,Raramente ou nunca,é brasileira que tem experiência na tradução para o inglês.,"Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,Não.,,feminino,66 ou mais,branca,Brasil
"""Sou XXX e tradutor/a"".",de 10 a 15 anos,Não,Engenharia,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ), Plataforma online (sem ser especializada em tradução)",português,inglês,Sim,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, acadêmicos - ciências e exatas",Raramente ou nunca,,Discordo parcialmente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,Interpretação,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES, ATA (American Translators Association)",Sim,Sim,Tenho uma empresa limitada (com CNPJ) com uma sócia brasileira e trabalhamos juntas (uma revisa o trabalho da outra),"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",inglês,português,Sim,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque faço melhor a tradução para o inglês que para o português., Aceito pois trabalho com uma sócia que faz revisão (ou eu reviso a tradução dela)","corporativos / business, jurídicos, documentos oficiais (certidões, diplomas, históricos escolares, etc.), audiovisual (legendagem, dublagem), literário",Sempre ou quase sempre,"é brasileira que tem experiência na tradução para o inglês., É minha sócia (eu sou nativa de inglês e ela de português)",Concordo parcialmente,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, Wordfast","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Não,Bancária aposentada,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,Sintra,Sim,Não,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor., Linguee",Uso para checar trechos que tive dificuldade de entender.,feminino,66 ou mais,preta,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Sim,"Ensino de tradução e/ou interpretação, Interpretação",Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Não,Sim,"Sintra, APIC, AIIC",Não,Sim,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,inglês,Sim,Mais da metade do tempo,"Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","corporativos / business, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem)",Sempre ou quase sempre,"trabalha na mesma empresa/agência que você., é brasileira que tem experiência na tradução para o inglês.","Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, Wordfast","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,masculino,46 a 55 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Ensino de tradução e literatura,Mestrado,Não fiz.,Não,Não,Sintra,Não,Não,"tradutor/a autônomo/a sem CNPJ., professor de uma universidade particular","Cliente direto, editora para a qual trabalho como free-lance há 35 anos",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Hoje em dia praticamente só faço tradução literária para uma editora específica.,"setor cultural, acadêmicos - humanas e artes, literário",Sempre ou quase sempre,trabalha na mesma empresa/agência que você.,Concorda plenamente.,"Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Não propriamente de tradução, mas um soft de ditado, Speechnotes.","Sim, Google Tradutor.","Ocasionalmente, para fazer um primeiro rascunho de textos simples.",masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Sim,Ensino de línguas,Mestrado,Mestrado em literatura comparada com disciplina sobre tradução,Não,Não,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,alemão,Faço versão para outro(s) idioma(s).,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Sim, MemoQ",Não.,,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque faço melhor a tradução para o inglês que para o português.","corporativos / business, acadêmicos - humanas e artes, acadêmicos - ciências e exatas",Raramente ou nunca,,Discordo parcialmente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.",Memsource,Recurso de TA no Memsource,"Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 3 a 5 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,funcionário/a de uma empresa ou agência de tradução.,Agência de tradução do exterior,português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Memsource e XTM,Não.,"Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
Profissional da Área Administrativa ,de 1 a 3 anos,Não,Comércio de Moda Feminina,Ensino superior.,Não fiz.,Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Plataforma online (sem ser especializada em tradução)",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito sempre ou quase sempre., Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.)",Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso)., é brasileira que tem experiência na tradução para o inglês.","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.",Não uso.,"Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Aluguel de imóvel ,Ensino superior.,Não fiz.,Sim,Não,Proz,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ), Colega",português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,66 ou mais,branca,Brasil
"""Sou XXX e tradutor/a"".",até 1 ano,Não,Trabalho CLT na área administrativa,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,espanhol,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,masculino,26 a 35 anos,prefiro não dizer,Brasil
"revisora, editora, produtora de conteúdo",de 3 a 5 anos,Sim,Revisão e/ou copydesque,Doutorado,"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço.","setor cultural, acadêmicos - humanas e artes, audiovisual (legendagem, dublagem), literário",Raramente ou nunca,,Discordo totalmente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, MemoQ","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,Ensino de tradução e/ou interpretação,Mestrado,"Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz curso livre ou de extensão em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega",português,inglês,Faço versão somente para o inglês.,Mais da metade do tempo,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","setor cultural, acadêmicos - humanas e artes, audiovisual (legendagem, dublagem)",Raramente ou nunca,,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro.","Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.","Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,"Ensino de línguas, Ensino de tradução e/ou interpretação, Aposentada",Doutorado,"Sim, fiz doutorado em tradução ou letras com ênfase em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Colega, Word of mouth",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito porque gosto de fazer a tradução para o inglês., Porque tenho confiança no meu trabalho ","setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, literário",Raramente ou nunca,,Discordo parcialmente.,Discordo parcialmente.,"Não tenho interesse em fazer curso de versão., Já estou velha para fazer curso. Provavelmente, daria curso.",Não uso.,"Sim, Google Tradutor.",Uso para me poupar a tarefa de digitação. O resultado é apenas um rascunho bem fraco.,feminino,66 ou mais,prefiro não dizer,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a",Cliente direto,português,francês,Faço versão para outro(s) idioma(s).,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,Aceito se é uma área que já conheço.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), acadêmicos - humanas e artes, acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem)",Mais da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso).",Concordo parcialmente,Discordo parcialmente.,"Sim, se o curso fosse presencial (depois da pandemia).","Sim, MemoQ","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Não,Benefício de aposentado,Ensino superior.,"Não fiz., Residente/casado, na França, durante 15 anos ",Não,Não,Sintra,Não,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, UNESCO e várias Editoras",português,francês,Faço versão para outro(s) idioma(s).,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,funcionário/a de uma empresa não especializada em tradução.,Empresa onde sou funcionário/a,português,japonês,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,"Sim, Google Tradutor.",Uso/Já usei ao traduzir para a língua estrangeira.,feminino,36 a 45 anos,amarela,Brasil
